Desc,Image
Базилік Localista зелений,https://images.silpo.ua/products/300x300/webp/ac263132-e0ba-4a78-8df6-274e65369fc9.png
Томат Azura Черрі сливка,https://images.silpo.ua/products/300x300/webp/af348477-844f-4914-b6df-54db59026eea.png
Шпинат Зелена Країна пучок,https://images.silpo.ua/products/300x300/webp/8bd81322-4b6f-4bed-8925-658efaf07d8b.png
"Смузі «Крафтяр» з апельсиновим соком, яблуком, морквою, лимоном і селерою",https://images.silpo.ua/products/300x300/webp/4a41d88b-256b-4c35-854a-e162e1604852.png
Салат Galicia Greenery фрізе,https://images.silpo.ua/products/300x300/webp/406b420f-a25b-43aa-b593-d8d7008877ad.png
Гранат,https://images.silpo.ua/products/300x300/webp/8d21e389-2ba2-43d8-9cd7-e3ebf86a7f0d.png
Капуста цвітна жовта Флейм Стар,https://images.silpo.ua/products/300x300/webp/0b0af9b4-3e18-487b-83c1-f93b646188cf.png
Кавун Органічний,https://images.silpo.ua/products/300x300/webp/40323285-adcd-42e5-aa89-e9309abcf08d.png
Мандарин,https://images.silpo.ua/products/300x300/webp/3b674b27-7f77-471d-b5c8-7715a294cd38.png
"Смузі «Крафтяр» з апельсиновим соком, авокадо, ківі, яблуком і руколою",https://images.silpo.ua/products/300x300/webp/c3089f85-8090-40ac-91f1-a08a7fc95682.png
Салат Vita Verde Рукола,https://images.silpo.ua/products/300x300/webp/cae3e83f-6f42-43a3-b501-a2bcaafb2d9b.png
Салат Vita Verde Бебі мікс,https://images.silpo.ua/products/300x300/webp/d33c9875-f4ce-4318-b1ce-cf9b07da7eed.png
Гриби Freshmore енокі,https://images.silpo.ua/products/300x300/webp/756d8de3-74da-44bb-adc7-65cf62c0e0e0.png
Томати коктейльні,https://images.silpo.ua/products/300x300/webp/4fabebd9-14f0-431d-8111-b1c9a9983e43.png
Курага «Премія»®,https://images.silpo.ua/products/300x300/webp/ba5194d3-bc92-4f83-91d8-1103c9b6e94e.png
Груша «Наші» китайська,https://images.silpo.ua/products/300x300/webp/1cce8746-8681-44f5-9622-a86ebe7c8da7.png
Чіпси яблучні «Премія»® з кислинкою,https://images.silpo.ua/products/300x300/webp/ab806a35-ecbd-4f4c-b7f3-9b6265362023.png
Банани для смузі та десертів,https://images.silpo.ua/products/300x300/webp/08ae6c61-c902-42e9-ade2-158b43727404.png
Лохина,https://images.silpo.ua/products/300x300/webp/0c5949c4-4dbd-4426-98a5-c89dfe27214d.png
Закуска YoFi! Hummus з в'яленими томатами і базиліком,https://images.silpo.ua/products/300x300/webp/8a7b71be-4542-4266-9405-1edde65fda94.png
Фісташки «Премія»® смажені солоні пакет,https://images.silpo.ua/products/300x300/webp/a765fe31-abb7-4a7c-a062-a4e9733d53f9.png
Насіння чіа,https://images.silpo.ua/products/300x300/webp/6f17e77b-8c07-458e-bcf9-afd1147be7fd.png
"Салат з овочів і фруктів (морква, селера, яблуко)",https://images.silpo.ua/products/300x300/webp/e14cecc7-a12c-4ef1-b65b-f16f25ca05db.png
Мигдалеві пластівці,https://images.silpo.ua/products/300x300/webp/5e6cb5cb-b728-4234-a9da-9479349857a1.png
Арахіс сушений,https://images.silpo.ua/products/300x300/webp/36dd5e62-9a11-45c0-9ec9-0e9219d152de.png
Гарбуз Баттернат,https://images.silpo.ua/products/300x300/webp/a18c23ff-9e8a-40b2-a1f5-0b32d4d0c85e.png
Томати Черрі органік,https://images.silpo.ua/products/300x300/webp/8f3c13be-b2ca-48a0-a5a5-a5774b6a7525.png
Салат «Крафтяр» десертний ананас кільцями,https://images.silpo.ua/products/300x300/webp/186104e1-8deb-450a-9ceb-e50fd3682476.png
Смузі Super Smooozie «Чарівний Манго»,https://images.silpo.ua/products/300x300/webp/848f50c5-d44b-4a9f-84c3-26b06344d834.png
Кеш'ю «Премія»® смажені ядра горіхів,https://images.silpo.ua/products/300x300/webp/9818af76-3316-4596-ab40-4c833d4e6d69.png
Паростки Eruca Farm гороху зростаючі,https://images.silpo.ua/products/300x300/webp/8c2e39e7-1545-4590-b3eb-c077c6cf41a7.png
Торт Green Chef вафельний шоколадний,https://images.silpo.ua/products/300x300/webp/50a91b2e-7ce5-4803-9c23-bf007264d25c.png
Хумус Yofi! зі смаженою цибулею,https://images.silpo.ua/products/300x300/webp/ba5f96f8-ade3-4e09-a480-df1f9684f114.png
Хумус Yofi! з сочевиці,https://images.silpo.ua/products/300x300/webp/8eea2474-777c-4f35-bfba-e1ec25c55f2d.png
Яблуко «Повна Чаша»® червоні,https://images.silpo.ua/products/300x300/webp/7aedaaad-6485-42b9-b08b-787426b23957.png
Комбуча Green Chef Ginger&basil,https://images.silpo.ua/products/300x300/webp/cd693b3b-f43f-40cf-b718-33a010f4bf31.png
Фісташки Winway смажені,https://images.silpo.ua/products/300x300/webp/8cfc0f14-c1da-4c33-a184-3fb783bdc8b9.png
Насіння гарбуза «Повна Чаша»® ядро сушене,https://images.silpo.ua/products/300x300/webp/e1b58d9c-4fb7-4069-82f5-50df44c23690.png
Салат Fit&Easy Active,https://images.silpo.ua/products/300x300/webp/e28babd1-ef19-42cd-b98e-e56c35895369.png
Журавлина в'ялена «Премія»®,https://images.silpo.ua/products/300x300/webp/5fe039a2-ce5b-498c-b790-2433c70cd244.png
Мікрозелень Green Vitamin Горох зрізана,https://images.silpo.ua/products/300x300/webp/cf218b8b-5428-4cb4-b7fe-dc9133880b46.png
Мигдаль «Премія»® ядра смажені,https://images.silpo.ua/products/300x300/webp/47b41891-7a84-40db-bab0-930b0a90ad82.png
Батончик Green Chef Healthy Prot Bar протеїн-кеш'ю,https://images.silpo.ua/products/300x300/webp/52e47b85-e110-4fdd-8e28-bb10f67e1a37.png
Цибуля Gourmet Перлина Мікс,https://images.silpo.ua/products/300x300/webp/c4693fa0-e691-43bf-b90c-99aa4cde52f9.png
Базилік зелений відбірний,https://images.silpo.ua/products/300x300/webp/e5dd7727-86a8-405e-9dd8-2a6035e54c8e.png
Родзинки,https://images.silpo.ua/products/300x300/webp/72dd60da-9888-4d39-bcf9-5f75af79ce48.png
Паростки редису Мікрогрін,https://images.silpo.ua/products/300x300/webp/fa177131-be71-46dd-8c36-aa477eb74d03.png
Шпинат відбірний,https://images.silpo.ua/products/300x300/webp/9c946c10-b2bd-4ad3-a165-aeb94a02293f.png
Журавлина фасована,https://images.silpo.ua/products/300x300/webp/d540a574-7648-417b-ae65-8daf80e4f480.png
Закуска YoFi! Hummus з гострим перцем з нуту,https://images.silpo.ua/products/300x300/webp/e17f3878-2e40-4704-bee8-e6cf90073d73.png
Смузі «Крафтяр» з апельсиновим соком та манго,https://images.silpo.ua/products/300x300/webp/0a998164-c2c8-48c5-88cf-a44facc4a5cd.png
Ківі Zespri,https://images.silpo.ua/products/300x300/webp/e8efdfa1-796c-4d5d-839a-a5526361dceb.png
Чорнослив «Премія»®,https://images.silpo.ua/products/300x300/webp/f33e8e06-cb3b-4fb5-9e4c-cef0a146f99f.png
Виноград елітний чорний,https://images.silpo.ua/products/300x300/webp/e9564649-535e-4084-9766-873d0492b8e8.png
Перець чилі зелений,https://images.silpo.ua/products/300x300/webp/4b5e110a-9fc5-4c2b-911c-344479d02db4.png
Чорниця свіжа вагова,https://images.silpo.ua/products/300x300/webp/2f895ee1-419a-4dd5-b3d5-2ec76cefeb37.png
Салат Vita Verde «Капричіо»,https://images.silpo.ua/products/300x300/webp/651b3e5e-4cc9-43a7-8457-f2d4b86ae25c.png
Огірки «Грінвіль» солоні корнішони,https://images.silpo.ua/products/300x300/webp/6a5337bf-904e-4bea-87b7-5309d10a6f69.png
Паростки горошку Мікрогрін,https://images.silpo.ua/products/300x300/webp/c5d362e4-76c6-4d55-a465-342eba50087c.png
Морква по-корейськи «Грінвіль»,https://images.silpo.ua/products/300x300/webp/94834ce6-9de0-410d-83f0-47668185267d.png
Салат десертний ананас-лохина,https://images.silpo.ua/products/300x300/webp/09887d51-41e6-4d53-8776-d3acdde371ba.png
Огірки «Чудова Марка» малосольні,https://images.silpo.ua/products/300x300/webp/93b80aeb-1e49-44b3-b662-b5efc4c8246e.png
Смородина чорна,https://images.silpo.ua/products/300x300/webp/d95ec835-7ea6-4b5f-81b8-f53797eff608.png
Паростки соняшнику мікрогрін,https://images.silpo.ua/products/300x300/webp/ede68c63-7458-44a0-94b1-a228c0f0521c.png
Томат Кур де Буф,https://images.silpo.ua/products/300x300/webp/ac45ce74-2372-4f5c-bd6e-63fedb186425.png
Томат черрі Амор,https://images.silpo.ua/products/300x300/webp/4f14008c-02e1-41b1-9dc6-e055262316c3.png
Розмарин відбірний,https://images.silpo.ua/products/300x300/webp/4d025034-ffb9-4918-83b8-6a1a082f1e96.png
Кокос,https://images.silpo.ua/products/300x300/webp/a622635b-2cd2-4507-804f-a4a1e51f1414.png
Курага «Премія»® Джамбо,https://images.silpo.ua/products/300x300/webp/9fc703b4-5e75-4b97-9861-a94f6c7950cf.png
Томати Azura Черрі мікс,https://images.silpo.ua/products/300x300/webp/7d234170-b8d8-4a36-9678-54b1f1c7f470.png
Мікрозелень Green Vitamin Соняшник зрізана,https://images.silpo.ua/products/300x300/webp/8d9d3806-baa2-4413-a3d9-5e4500fc78ce.png
Базилік Ї'm Salata свіжий,https://images.silpo.ua/products/300x300/webp/1118d2fc-e20f-4beb-be81-4ece70f2d522.png
Томат Green Agro сливка жовта,https://images.silpo.ua/products/300x300/webp/70624ee8-05b4-4186-a34e-bc0383d8b7dd.png
Насіння Santa Vita льону,https://images.silpo.ua/products/300x300/webp/6ed2c7b9-2241-4286-ae4f-753b03b1b9a4.png
Комбуча Green Chef Raspberries,https://images.silpo.ua/products/300x300/webp/a7845e00-cda8-4ba8-a283-36b93f740a08.png
Салат «Пучок-Свіжачок» рукола-радичіо,https://images.silpo.ua/products/300x300/webp/f20c891c-fe38-43f5-9ebb-c57dacb3c6f4.png
Салат «Пучок-Свіжачок» мікс лолла росса-лолла біонда,https://images.silpo.ua/products/300x300/webp/39325653-f5a7-4b85-b142-d0bb925a24b8.png
Комбуча Green Chef Herbal,https://images.silpo.ua/products/300x300/webp/d506e012-6709-488f-8272-950733080319.png
Горіх волоський бланшований,https://images.silpo.ua/products/300x300/webp/807e736d-5749-4766-aa3f-6b8d6fe3a010.png
Салат Зелена Країна Мікс з морквою та буряком,https://images.silpo.ua/products/300x300/webp/a5701188-e42e-4241-ba34-f09930ec9dec.png
Салат Пучок-Свіжачок Бебі Мікс Квітковий,https://images.silpo.ua/products/300x300/webp/04641b96-5f99-4fc3-9f74-d5abc7fd4e2a.png
Комбуча Green Chef Berries,https://images.silpo.ua/products/300x300/webp/a8098664-4050-4bb7-b0d8-98332a8edfa1.png
Виноград білий без кісточки,https://images.silpo.ua/products/300x300/webp/a0d50786-b49d-4aa4-b240-16977dd642fd.png
Смузі Super Smooozie Тотально Тропічний,https://images.silpo.ua/products/300x300/webp/855ecf2b-5a3e-427f-9540-e53deca3cf61.png
Фалафель YoFi! смажений,https://images.silpo.ua/products/300x300/webp/d5c680a2-def3-4c36-a777-2c08eb9efda5.png
Комбуча Green Chef Груша&Аронія,https://images.silpo.ua/products/300x300/webp/841f3e01-74ae-4cc6-b857-adcd057f52be.png
Горох Green Vitamin мікрозелень,https://images.silpo.ua/products/300x300/webp/f15cf108-8957-41b0-acf4-829e48570f2c.png
Персик інжирний Мона Ліза,https://images.silpo.ua/products/300x300/webp/f1d88557-f59b-4c51-8032-98fb0108c91f.png
Халва Green Chef Sister’s Sport протеїнова фунд,https://images.silpo.ua/products/300x300/webp/09286ad0-e221-45a4-8e9a-a6492ee37a6c.png
Фалафель «Лавка Традицій» Bonner смажений з часником,https://images.silpo.ua/products/300x300/webp/4ab20511-49dc-4714-8df8-239ea3938c50.png
Родзинки світлі Джамбо,https://images.silpo.ua/products/300x300/webp/dcc60eaf-c5dd-43dc-81f8-dcb4b8c5e9f2.png
Манго натуральне сушене,https://images.silpo.ua/products/300x300/webp/f5582a54-6d79-4679-8962-fdf53d7c6bea.png
Смузі Super Smooozie «Стрункий шпинат»,https://images.silpo.ua/products/300x300/webp/e7947210-9d31-4ac6-93de-17e9210a371b.png
Цукати з ківі,https://images.silpo.ua/products/300x300/webp/d3c10b4e-c398-4713-8785-b7ce6645a8ab.png
Стружка кокосова,https://images.silpo.ua/products/300x300/webp/a627bdb5-a43d-470d-8d2a-e16a16b7e86f.png
Насіння кунжуту,https://images.silpo.ua/products/300x300/webp/983c59fd-e825-45b6-9596-c65e651a88c3.png
"Томати Green Agro мікс 1 рожеві, жовті, чорні",https://images.silpo.ua/products/300x300/webp/4f1b4ea2-185d-43a5-a62b-c504e7f11112.png
Сік Feels good апельсиновий прямий віджим,https://images.silpo.ua/products/300x300/webp/519d5c70-d35e-42cf-84b1-32402972a165.png
Гриби «Дари Гуцульщини» білі мелені сушені,https://images.silpo.ua/products/300x300/webp/5ddf453c-7539-473b-8d52-9d76db4bf892.png
Горіх волоський Eat4fit,https://images.silpo.ua/products/300x300/webp/7484ed61-f23b-4497-a72e-acba81f0e296.png
"Напій «Крафтяр» мигдальний з манго, бананон, насінням чіа",https://images.silpo.ua/products/300x300/webp/0fef919b-69e0-4eac-bbc3-31d76a3ad216.png
Кокос Drink&Eat,https://images.silpo.ua/products/300x300/webp/6e8035f9-0790-4fb0-8339-feb894c9486b.png
Мигдаль Winway смажений,https://images.silpo.ua/products/300x300/webp/0d1df847-9eb9-472e-b0ca-bc1735e32bef.png
Кеш'ю Winway смажене,https://images.silpo.ua/products/300x300/webp/4f0d37a9-d599-48e4-985a-a9bbab79ea35.png
Папая Winway палички сушені,https://images.silpo.ua/products/300x300/webp/e3aa89b7-9a12-415f-9d29-13dcfb6a59d4.png
